event_type,template,<arg1>,<arg2>,<arg3>,<arg4>,<arg5>,<arg6>
ArtifactExistence.DamageDestroyDisableDismantle.Damage, <arg1> damaged <arg2> using <arg3> in <arg4>  ,Damager,Artifact,Instrument,Place,,
ArtifactExistence.DamageDestroyDisableDismantle.Destroy, <arg1> destroyed <arg2> using <arg3> in <arg4> ,Destroyer,Artifact,Instrument,Place,,
ArtifactExistence.DamageDestroyDisableDismantle.DisableDefuse, <arg1> disabled or defused <arg2> using <arg3> in Place ,Disabler,Artifact,Instrument,,,
ArtifactExistence.DamageDestroyDisableDismantle.Dismantle, <arg1> dismantled <arg2> using <arg3> from <arg4> in <arg5> ,Dismantler,Artifact,Instrument,Components,Place,
ArtifactExistence.DamageDestroyDisableDismantle.Unspecified, <arg1> damaged or destroyed <arg2> using <arg3> in <arg4> ,DamagerDestroyer,Artifact,Instrument,Place,,
ArtifactExistence.ManufactureAssemble.Unspecified, <arg1> manufactured or assembled or produced <arg2> from <arg3> using Instrument at <arg4> ,ManufacturerAssembler,Artifact,Components,Place,,
Cognitive.IdentifyCategorize.Unspecified, <arg1> identified <arg2> as <arg3> at <arg4> ,Identifier,IdentifiedObject,IdentifiedRole,Place,,
Cognitive.Inspection.SensoryObserve, <arg1> observed <arg2> using <arg3> in <arg4> ,Observer,ObservedEntity,Instrument,Place,,
Cognitive.Research.Unspecified, <arg1> researched <arg2> using Means at <arg3> ,Researcher,Subject,Place,,,
Cognitive.TeachingTrainingLearning.Unspecified, <arg1> taught FieldOfKnowledge to <arg2> using Means at Institution in Place ,TeacherTrainer,Learner,,,,
Conflict.Attack.DetonateExplode, <arg1> detonated or exploded <arg2> using <arg3> to attack <arg4> at <arg5> ,Attacker,ExplosiveDevice,Instrument,Target,Place,
Conflict.Attack.Unspecified, <arg1> attacked <arg2> using <arg3> at <arg4> ,Attacker,Target,Instrument,Place,,
Conflict.Defeat.Unspecified, <arg1> <arg2> in ConflictOrElection at <arg3> ,Victor,Defeated,Place,,,
Conflict.Demonstrate.DemonstrateWithViolence," <arg1> was in a demonstration involving violence for Topic with VisualDisplay against Target at Place, with potential involvement of Regulator police or military ",Demonstrator,,,,,
Conflict.Demonstrate.Unspecified," <arg1> was in a demonstration for <arg2> with VisualDisplay against <arg3> at Place, with potential involvement of Regulator police or military ",Demonstrator,Topic,Target,,,
